category_id,category,parent_category
0,caribbean,caribbean
1,dominican,caribbean
2,haitian,caribbean
3,puertorican,caribbean
4,trinidadian,caribbean
5,cuban,caribbean
6,honduran,caribbean
7,nicaraguan,caribbean
8,argentine,southamerican
9,brazilian,southamerican
10,izakaya,southamerican
11,latin,southamerican
12,colombian,southamerican
13,salvadoran,southamerican
14,venezuelan,southamerican
15,peruvian,southamerican
16,chinese,chinese
17,cantonese,chinese
18,dimsum,chinese
19,hainan,chinese
20,shanghainese,chinese
21,szechuan,chinese
22,hkcafe,chinese
23,japanese,japanese
24,conveyorsushi,japanese
25,japacurry,japanese
26,ramen,japanese
27,teppanyaki,japanese
28,sushi,japanese
29,burmese,southeastasian
30,cambodian,southeastasian
31,filipino,southeastasian
32,guamanian,southeastasian
33,indonesian,southeastasian
34,bangladeshi,southeastasian
35,laotian,southeastasian
36,malaysian,southeastasian
37,singaporean,southeastasian
38,thai,southeastasian
39,vietnamese,southeastasian
40,asianfusion,otherasia
41,himalayan,otherasia
42,hotpot,otherasia
43,korean,otherasia
44,mongolian,otherasia
45,panasian,otherasia
46,srilankan,otherasia
47,taiwanese,otherasia
48,uzbek,otherasia
49,african,african
50,senegalese,african
51,southafrican,african
52,ethiopian,african
53,mauritius,african
54,egyptian,african
55,moroccan,african
56,italian,italian
57,calabrian,italian
58,sardinian,italian
59,tuscan,italian
60,pizza,italian
61,brasseries,french
62,cajun,french
63,creperies,french
64,fondue,french
65,french,french
66,poutineries,french
67,austrian,othereurope
68,basque,othereurope
69,belgian,othereurope
70,british,othereurope
71,german,othereurope
72,hungarian,othereurope
73,irish,othereurope
74,modern_european,othereurope
75,scandinavian,othereurope
76,scottish,othereurope
77,greek,mediterranean
78,portuguese,mediterranean
79,spanish,mediterranean
80,turkish,mediterranean
81,mediterranean,mediterranean
82,catalan,mediterranean
83,iberian,mediterranean
84,russian,slavic
85,polish,slavic
86,ukrainian,slavic
87,czech,slavic
88,slovakian,slavic
89,newamerican,american
90,tradamerican,american
91,bbq,american
92,burgers,american
93,cheesesteaks,american
94,chicken_wings,american
95,hawaiian,american
96,hotdog,american
97,southern,american
98,afghani,middleeastern
99,arabian,middleeastern
100,armenian,middleeastern
101,halal,middleeastern
102,kebab,middleeastern
103,kosher,middleeastern
104,falafel,middleeastern
105,mideastern,middleeastern
106,lebanese,middleeastern
107,persian,middleeastern
108,syrian,middleeastern
109,indpak,indiapakistan
110,pakistani,indiapakistan
111,mexican,mexican
112,tacos,mexican
113,newmexican,mexican
114,tex-mex,mexican
115,australian,australian